config,input_len,batch_size,output_len,tpot_mean_ms,tpot_p50_ms,ttft_single_ms,ttft_mean_ms,gen_tps,sys_tpot_ms,e2e_mean_ms
TP2-DP4-EP H200 NVLink,512,8,128,10.05,10.05,161.41,0.0,759.6,1.32,1286.14
TP2-DP4-EP H200 NVLink,512,16,128,10.43,10.46,161.41,0.0,1460.7,0.68,1335.34
TP2-DP4-EP H200 NVLink,512,32,128,11.44,11.45,161.41,0.0,2658.0,0.38,1463.98
TP2-DP4-EP H200 NVLink,512,64,128,13.39,13.42,161.41,0.0,4587.2,0.22,1714.36
TP2-DP4-EP H200 NVLink,2048,1,128,7.91,7.91,167.37,0.0,104.8,7.91,1171.86
TP2-DP4-EP H200 NVLink,2048,8,128,10.06,10.06,167.37,0.0,759.6,1.32,1287.8
TP2-DP4-EP H200 NVLink,2048,16,128,11.27,11.3,167.37,0.0,1390.6,0.72,1442.01
TP2-DP4-EP H200 NVLink,2048,32,128,13.9,13.92,167.37,0.0,2216.8,0.45,1779.74
TP2-DP4-EP H200 NVLink,2048,64,128,19.23,19.24,167.37,0.0,3215.8,0.31,2461.93
TP4 H200 NVLink,128,1,128,7.67,7.67,400.86,400.86,93.0,10.75,1375.55
TP4 H200 NVLink,128,8,128,11.08,9.59,929.76,1506.41,351.2,2.85,2913.88
TP4 H200 NVLink,128,16,128,17.19,17.48,454.64,591.39,734.9,1.36,2774.62
TP4 H200 NVLink,128,32,128,27.14,25.02,451.82,1252.02,863.6,1.16,4698.35
TP4 H200 NVLink,128,64,128,23.48,23.95,470.4,1405.51,1825.8,0.55,4388.07
TP4 H200 NVLink,512,1,128,5.39,5.39,12880.8,12880.8,9.4,105.98,13565.39
TP4 H200 NVLink,512,8,128,6.0,5.77,440.75,441.17,789.1,1.27,1202.77
TP4 H200 NVLink,512,16,128,6.08,6.82,405.53,565.27,1488.6,0.67,1337.47
TP4 H200 NVLink,512,32,128,8.79,8.14,402.36,675.47,2253.2,0.44,1791.53
TP4 H200 NVLink,512,64,128,15.66,14.86,449.99,1027.33,2677.3,0.37,3016.0
TP4 H200 NVLink,2048,1,128,5.39,5.39,1044.56,1044.56,74.0,13.51,1729.18
TP4 H200 NVLink,2048,8,128,6.02,6.0,434.68,571.03,742.5,1.35,1335.82
TP4 H200 NVLink,2048,16,128,6.38,6.57,406.32,671.13,1245.7,0.8,1481.41
TP4 H200 NVLink,2048,32,128,7.53,7.41,411.62,801.46,2149.5,0.47,1757.15
TP4 H200 NVLink,2048,64,128,9.12,8.88,414.75,976.51,3499.7,0.29,2135.05
TP4-DP2 H200 NVLink,128,1,128,8.01,8.01,76.5,0.0,113.4,8.01,1094.39
TP4-DP2 H200 NVLink,128,8,128,9.74,9.77,76.5,0.0,785.8,1.27,1246.8
TP4-DP2 H200 NVLink,128,16,128,10.19,10.21,76.5,0.0,1503.0,0.67,1303.72
TP4-DP2 H200 NVLink,128,32,128,11.58,11.58,76.5,0.0,2653.6,0.38,1482.1
TP4-DP2 H200 NVLink,128,64,128,13.04,13.06,76.5,0.0,4707.0,0.21,1668.7
TP4-DP2 H200 NVLink,512,1,128,8.37,8.37,172.26,0.0,99.3,8.37,1235.79
TP4-DP2 H200 NVLink,512,8,128,10.42,10.45,172.26,0.0,736.4,1.36,1333.85
TP4-DP2 H200 NVLink,512,16,128,11.33,11.36,172.26,0.0,1353.7,0.74,1450.86
TP4-DP2 H200 NVLink,512,32,128,16.46,16.48,172.26,0.0,1887.1,0.53,2107.28
TP4-DP2 H200 NVLink,512,64,128,18.67,18.32,172.26,0.0,3344.3,0.3,2318.32
TP4-DP2 H200 NVLink,2048,1,128,7.17,7.17,250.11,0.0,105.7,7.17,1160.62
TP4-DP2 H200 NVLink,2048,8,128,11.69,11.7,250.11,0.0,661.0,1.51,1496.69
TP4-DP2 H200 NVLink,2048,16,128,14.88,14.89,250.11,0.0,1043.6,0.96,1905.01
TP4-DP2 H200 NVLink,2048,32,128,21.74,20.45,250.11,0.0,1485.9,0.67,2584.25
TP4-DP2 H200 NVLink,2048,64,128,31.85,31.85,250.11,0.0,1964.3,0.51,4076.63
TP4-DP2-EP H200 NVLink,128,1,128,7.69,7.69,102.37,0.0,114.8,7.69,1079.48
TP4-DP2-EP H200 NVLink,128,8,128,9.53,9.53,102.37,0.0,805.5,1.24,1220.06
TP4-DP2-EP H200 NVLink,128,16,128,10.18,10.18,102.37,0.0,1509.1,0.66,1302.84
TP4-DP2-EP H200 NVLink,128,32,128,11.57,11.59,102.37,0.0,2647.3,0.38,1481.19
TP4-DP2-EP H200 NVLink,128,64,128,12.97,12.97,102.37,0.0,4741.3,0.21,1660.18
TP4-DP2-EP H200 NVLink,512,1,128,8.44,8.44,170.47,0.0,98.5,8.44,1242.07
TP4-DP2-EP H200 NVLink,512,8,128,10.4,10.4,170.47,0.0,739.3,1.35,1331.57
TP4-DP2-EP H200 NVLink,512,16,128,11.32,11.32,170.47,0.0,1355.3,0.74,1449.46
TP4-DP2-EP H200 NVLink,512,32,128,17.24,16.5,170.47,0.0,1835.3,0.54,2075.93
TP4-DP2-EP H200 NVLink,512,64,128,19.07,18.08,170.47,0.0,3284.3,0.3,2260.61
TP4-DP2-EP H200 NVLink,2048,1,128,8.49,8.49,162.7,0.0,99.2,8.49,1241.28
TP4-DP2-EP H200 NVLink,2048,8,128,11.72,11.76,162.7,0.0,656.8,1.52,1500.65
TP4-DP2-EP H200 NVLink,2048,16,128,14.79,14.79,162.7,0.0,1047.2,0.95,1892.67
TP4-DP2-EP H200 NVLink,2048,32,128,20.28,20.27,162.7,0.0,1533.5,0.65,2595.51
TP4-DP2-EP H200 NVLink,2048,64,128,31.44,31.44,162.7,0.0,1982.6,0.5,4024.08
TP8 H200 NVLink,128,1,128,4.58,4.58,62.72,0.0,188.9,4.58,644.72
TP8 H200 NVLink,128,8,128,6.6,6.61,62.72,0.0,1133.3,0.88,844.97
TP8 H200 NVLink,128,16,128,7.06,7.06,62.72,0.0,2136.2,0.47,903.67
TP8 H200 NVLink,128,32,128,8.62,8.63,62.72,0.0,3521.6,0.28,1103.86
TP8 H200 NVLink,128,64,128,9.28,9.28,62.72,0.0,6496.7,0.15,1187.82
TP8 H200 NVLink,512,1,128,4.32,4.32,90.96,0.0,185.3,4.32,639.61
TP8 H200 NVLink,512,8,128,6.14,6.15,90.96,0.0,1218.6,0.82,785.77
TP8 H200 NVLink,512,16,128,6.65,6.67,90.96,0.0,2256.1,0.44,851.27
TP8 H200 NVLink,512,32,128,8.75,8.77,90.96,0.0,3470.4,0.29,1120.57
TP8 H200 NVLink,512,64,128,9.43,9.44,90.96,0.0,6427.7,0.16,1206.85
TP8 H200 NVLink,2048,1,128,4.32,4.32,96.1,0.0,184.8,4.32,645.07
TP8 H200 NVLink,2048,8,128,6.66,6.67,96.1,0.0,1123.5,0.89,852.65
TP8 H200 NVLink,2048,16,128,7.24,7.26,96.1,0.0,2080.9,0.48,927.22
TP8 H200 NVLink,2048,32,128,9.09,9.1,96.1,0.0,3326.7,0.3,1163.64
TP8 H200 NVLink,2048,64,128,10.34,10.36,96.1,0.0,5876.8,0.17,1324.12
TP8+EP H200 NVLink,128,1,128,5.01,5.01,65.34,0.0,174.0,5.01,702.24
TP8+EP H200 NVLink,128,8,128,10.6,10.63,65.34,0.0,724.8,1.38,1356.91
TP8+EP H200 NVLink,128,16,128,7.4,7.41,65.34,0.0,2038.1,0.49,947.8
TP8+EP H200 NVLink,128,32,128,8.62,8.63,65.34,0.0,3522.4,0.28,1103.48
TP8+EP H200 NVLink,128,64,128,10.36,10.35,65.34,0.0,5889.4,0.17,1325.61
TP8+EP H200 NVLink,512,1,128,4.74,4.74,148.13,0.0,159.6,4.74,750.46
TP8+EP H200 NVLink,512,8,128,7.43,7.44,148.13,0.0,1015.9,0.98,950.63
TP8+EP H200 NVLink,512,16,128,7.8,7.81,148.13,0.0,1940.5,0.52,998.74
TP8+EP H200 NVLink,512,32,128,11.66,11.66,148.13,0.0,2624.7,0.38,1492.14
TP8+EP H200 NVLink,512,64,128,12.24,12.25,148.13,0.0,4965.6,0.2,1567.25
TP8+EP H200 NVLink,2048,1,128,4.76,4.76,150.67,0.0,158.9,4.76,755.7
TP8+EP H200 NVLink,2048,8,128,8.34,8.36,150.67,0.0,909.1,1.1,1067.75
TP8+EP H200 NVLink,2048,16,128,10.09,10.1,150.67,0.0,1512.6,0.66,1291.91
TP8+EP H200 NVLink,2048,32,128,13.64,13.63,150.67,0.0,2243.9,0.45,1745.4
TP8+EP H200 NVLink,2048,64,128,20.83,20.86,150.67,0.0,2945.1,0.34,2666.78
