config,concurrency,repeat,task_id,step_id,agent_role,tpot_ms,ttft_ms,latency_ms,prompt_tokens,completion_tokens
TP2 H200 NVLink,1,1,54,E0,executor,5.567257976873801,629.6277046203613,3736.1576557159424,223,559
TP2 H200 NVLink,1,1,54,E1,executor,5.570176529557737,759.5081329345703,5232.359886169434,786,804
TP2 H200 NVLink,1,1,54,A,aggregator,5.859523603360947,696.6052055358887,3263.0765438079834,1594,439
TP2 H200 NVLink,1,1,55,P,planner,6.305153746353953,696.181058883667,1894.160270690918,900,191
TP2 H200 NVLink,1,1,55,E0,executor,5.970402981372589,661.4720821380615,2064.51678276062,1097,236
TP2 H200 NVLink,1,1,55,E1,executor,6.175125997091077,699.749231338501,1897.72367477417,1337,195
TP2 H200 NVLink,1,1,55,A,aggregator,11.521507711971507,727.5867462158203,923.4523773193359,1536,18
TP2 H200 NVLink,1,1,56,P,planner,6.328155339690688,673.8760471343994,1895.2100276947021,168,194
TP2 H200 NVLink,1,1,56,E0,executor,6.20692253112793,688.9216899871826,1154.4408798217773,368,76
TP2 H200 NVLink,1,1,56,E1,executor,6.155943870544434,649.6734619140625,895.9112167358398,448,41
TP2 H200 NVLink,1,1,56,A,aggregator,5.525973916963767,625.7898807525635,4969.205379486084,493,787
TP2 H200 NVLink,1,1,57,P,planner,5.901292105701482,572.289228439331,1203.7274837493896,47,108
TP2 H200 NVLink,1,1,57,E0,executor,5.567559443022075,628.0913352966309,2743.7639236450195,161,381
TP2 H200 NVLink,1,1,57,E1,executor,3.947615623474121,661.5054607391357,693.0863857269287,546,9
TP2 H200 NVLink,1,1,57,A,aggregator,5.996234396584014,658.7727069854736,2061.891555786133,559,235
TP2 H200 NVLink,1,1,58,P,planner,5.609853565692902,588.6313915252686,1486.2079620361328,57,161
TP2 H200 NVLink,1,1,58,E0,executor,15.102863311767578,690.941333770752,766.4556503295898,224,6
TP2 H200 NVLink,1,1,58,E1,executor,15.093278884887695,692.8567886352539,768.3231830596924,234,6
TP2 H200 NVLink,1,1,58,A,aggregator,6.157698017535823,688.908576965332,1310.8360767364502,244,102
TP2 H200 NVLink,1,1,59,P,planner,5.795949356146321,571.6507434844971,1887.331247329712,50,228
TP2 H200 NVLink,1,1,59,E0,executor,6.120812265496505,622.581958770752,1204.05912399292,284,96
TP2 H200 NVLink,1,1,59,E1,executor,6.623744964599609,623.7342357635498,862.1890544891357,384,37
TP2 H200 NVLink,1,1,59,A,aggregator,5.597482422392764,623.9728927612305,3428.311586380005,425,502
TP2 H200 NVLink,1,1,60,P,planner,5.814769051291726,629.1217803955078,1204.7839164733887,256,100
TP2 H200 NVLink,1,1,60,E0,executor,13.427066802978516,625.025749206543,692.1610832214355,362,6
TP2 H200 NVLink,1,1,60,E1,executor,13.235044479370117,626.5239715576172,692.6991939544678,372,6
TP2 H200 NVLink,1,1,60,A,aggregator,5.4614725221699185,624.3388652801514,2060.70613861084,382,264
TP2 H200 NVLink,1,1,61,P,planner,6.951009525972254,572.4935531616211,690.6607151031494,36,18
TP2 H200 NVLink,1,1,61,E0,executor,13.166586558024088,572.4294185638428,690.9286975860596,60,10
TP2 H200 NVLink,1,1,61,E1,executor,13.144705030653212,572.5846290588379,690.8869743347168,74,10
TP2 H200 NVLink,1,1,61,A,aggregator,8.039898342556423,572.5829601287842,862.0193004608154,88,37
TP2 H200 NVLink,1,1,62,P,planner,6.965398788452148,571.4783668518066,689.8901462554932,36,18
TP2 H200 NVLink,1,1,62,E0,executor,13.153208626641167,572.4561214447021,690.8349990844727,60,10
TP2 H200 NVLink,1,1,62,E1,executor,13.117790222167969,572.8917121887207,690.9518241882324,74,10
TP2 H200 NVLink,1,1,62,A,aggregator,8.038553926679823,572.4220275878906,861.8099689483643,88,37
TP2 H200 NVLink,1,1,63,P,planner,5.858012290545554,572.8700160980225,3085.9572887420654,85,430
TP2 H200 NVLink,1,1,63,E0,executor,5.519943264320957,626.143217086792,2574.68318939209,521,354
TP2 H200 NVLink,1,1,63,E1,executor,5.815277693967306,693.2821273803711,2746.07515335083,879,354
TP2 H200 NVLink,1,1,63,A,aggregator,5.708522605683832,698.5046863555908,5830.466508865356,1237,900
TP2 H200 NVLink,1,2,0,P,planner,6.223854168440944,230.83257675170898,1033.7097644805908,42,130
TP2 H200 NVLink,1,2,0,E0,executor,5.425952595366529,630.6769847869873,1547.6629734039307,178,170
TP2 H200 NVLink,1,2,0,E1,executor,5.938843804962781,624.7150897979736,1206.7217826843262,352,99
TP2 H200 NVLink,1,2,0,A,aggregator,5.707919597625732,624.7014999389648,2063.0972385406494,455,253
TP2 H200 NVLink,1,2,1,P,planner,5.7326302808873795,572.3972320556641,1546.9443798065186,43,171
TP2 H200 NVLink,1,2,1,E0,executor,5.536244450290931,629.7142505645752,7195.700168609619,220,1187
TP2 H200 NVLink,1,2,1,E1,executor,5.528945781661556,696.5861320495605,4804.592847824097,1412,744
TP2 H200 NVLink,1,2,1,A,aggregator,11.425431569417318,699.6917724609375,871.0732460021973,2161,16
TP2 H200 NVLink,1,2,2,P,planner,6.009328932989211,573.6536979675293,1204.6332359313965,39,106
TP2 H200 NVLink,1,2,2,E0,executor,6.070332811368222,630.7432651519775,1547.363519668579,151,152
TP2 H200 NVLink,1,2,2,E1,executor,5.480225880940755,623.4884262084961,1034.5053672790527,307,76
