req_id,input_len,output_len,concurrency_group,start_ts,end_ts,status,prompt_tokens,completion_tokens
r_032c_8192i_64o_high_00,8192,64,32,2026-02-25T22:41:32.909229+00:00,2026-02-25T22:41:38.815100+00:00,ok,8241,64
r_032c_8192i_128o_low_00,8192,128,32,2026-02-25T22:41:32.910439+00:00,2026-02-25T22:41:39.450749+00:00,ok,8198,128
r_032c_8192i_128o_high_00,8192,128,32,2026-02-25T22:41:32.911633+00:00,2026-02-25T22:41:39.460346+00:00,ok,8240,128
r_032c_16384i_64o_low_00,16384,64,32,2026-02-25T22:41:32.912811+00:00,2026-02-25T22:41:38.859487+00:00,ok,16377,64
r_032c_16384i_64o_high_00,16384,64,32,2026-02-25T22:41:32.914742+00:00,2026-02-25T22:41:38.858002+00:00,ok,16417,64
r_032c_16384i_128o_low_00,16384,128,32,2026-02-25T22:41:32.916187+00:00,2026-02-25T22:41:39.494028+00:00,ok,16377,128
r_032c_16384i_128o_high_00,16384,128,32,2026-02-25T22:41:32.917400+00:00,2026-02-25T22:41:39.495754+00:00,ok,16416,128
r_032c_30720i_64o_low_00,30720,64,32,2026-02-25T22:41:32.918674+00:00,2026-02-25T22:41:38.914499+00:00,ok,30689,64
r_032c_30720i_64o_high_00,30720,64,32,2026-02-25T22:41:32.921971+00:00,2026-02-25T22:41:38.963273+00:00,ok,30729,64
r_032c_30720i_128o_low_00,30720,128,32,2026-02-25T22:41:32.923956+00:00,2026-02-25T22:41:39.555306+00:00,ok,30688,128
r_032c_30720i_128o_high_00,30720,128,32,2026-02-25T22:41:32.925680+00:00,2026-02-25T22:41:39.553440+00:00,ok,30728,128
r_064c_8192i_64o_low_00,8192,64,64,2026-02-25T22:41:41.627041+00:00,2026-02-25T22:41:47.169314+00:00,ok,8199,64
r_064c_8192i_64o_high_00,8192,64,64,2026-02-25T22:41:41.628219+00:00,2026-02-25T22:41:47.121745+00:00,ok,8241,64
r_064c_8192i_128o_low_00,8192,128,64,2026-02-25T22:41:41.629184+00:00,2026-02-25T22:41:47.787946+00:00,ok,8198,128
r_064c_8192i_128o_high_00,8192,128,64,2026-02-25T22:41:41.630012+00:00,2026-02-25T22:41:47.797197+00:00,ok,8242,128
r_064c_16384i_64o_low_00,16384,64,64,2026-02-25T22:41:41.630804+00:00,2026-02-25T22:41:47.193496+00:00,ok,16377,64
r_064c_16384i_64o_high_00,16384,64,64,2026-02-25T22:41:41.632050+00:00,2026-02-25T22:41:47.317943+00:00,ok,16419,64
r_064c_16384i_128o_low_00,16384,128,64,2026-02-25T22:41:41.633234+00:00,2026-02-25T22:41:47.840862+00:00,ok,16380,128
r_064c_16384i_128o_high_00,16384,128,64,2026-02-25T22:41:41.634431+00:00,2026-02-25T22:41:47.839119+00:00,ok,16418,128
r_064c_30720i_64o_low_00,30720,64,64,2026-02-25T22:41:41.635541+00:00,2026-02-25T22:41:47.275280+00:00,ok,30687,64
r_064c_30720i_64o_high_00,30720,64,64,2026-02-25T22:41:41.639089+00:00,2026-02-25T22:41:47.273890+00:00,ok,30730,64
r_064c_30720i_128o_low_00,30720,128,64,2026-02-25T22:41:41.641148+00:00,2026-02-25T22:41:47.896807+00:00,ok,30689,128
r_064c_30720i_128o_high_00,30720,128,64,2026-02-25T22:41:41.643002+00:00,2026-02-25T22:41:47.902928+00:00,ok,30727,128
