benchmark,concurrency,session_id,turn,prompt_tokens,completion_tokens,cumulative_context_tokens,latency_s,status
swebench,16,12,2,17034,512,17546,15.163,ok
swebench,16,12,3,30933,512,31445,11.972,ok
swebench,16,13,0,179,422,601,4.846,ok
swebench,16,13,1,6543,512,7055,10.337,ok
swebench,16,13,2,16787,512,17299,13.957,ok
swebench,16,13,3,30867,512,31379,15.551,ok
swebench,16,14,0,179,512,691,6.241,ok
swebench,16,14,1,6651,512,7163,13.07,ok
swebench,16,14,2,16890,483,17373,12.718,ok
swebench,16,14,3,30736,512,31248,13.713,ok
swebench,16,15,0,179,512,691,6.233,ok
swebench,16,15,1,6779,512,7291,12.715,ok
swebench,16,15,2,17006,512,17518,15.171,ok
swebench,16,15,3,31076,512,31588,11.956,ok
terminalbench,1,0,0,102,256,358,1.715,ok
terminalbench,1,0,1,1614,256,1870,1.869,ok
terminalbench,1,0,2,4041,256,4297,1.911,ok
terminalbench,1,0,3,7297,256,7553,1.968,ok
terminalbench,1,0,4,11511,256,11767,1.992,ok
terminalbench,1,0,5,16523,256,16779,2.118,ok
terminalbench,1,0,6,22489,256,22745,2.152,ok
terminalbench,1,0,7,29388,256,29644,2.176,ok
terminalbench,2,0,0,100,256,356,1.998,ok
terminalbench,2,0,1,1625,256,1881,2.291,ok
terminalbench,2,0,2,4025,256,4281,2.359,ok
terminalbench,2,0,3,7262,256,7518,2.449,ok
terminalbench,2,0,4,11489,256,11745,2.448,ok
terminalbench,2,0,5,16592,256,16848,2.63,ok
terminalbench,2,0,6,22567,256,22823,2.71,ok
terminalbench,2,0,7,29416,256,29672,2.786,ok
terminalbench,2,1,0,102,256,358,2.011,ok
terminalbench,2,1,1,1585,256,1841,2.291,ok
terminalbench,2,1,2,4016,256,4272,2.358,ok
terminalbench,2,1,3,7270,256,7526,2.45,ok
terminalbench,2,1,4,11447,256,11703,2.448,ok
terminalbench,2,1,5,16505,256,16761,2.629,ok
terminalbench,2,1,6,22528,256,22784,2.712,ok
terminalbench,2,1,7,29373,256,29629,2.784,ok
terminalbench,4,0,0,102,256,358,2.245,ok
terminalbench,4,0,1,1593,256,1849,2.519,ok
terminalbench,4,0,2,3977,256,4233,2.684,ok
terminalbench,4,0,3,7262,256,7518,2.896,ok
terminalbench,4,0,4,11415,256,11671,3.022,ok
terminalbench,4,0,5,16501,256,16757,3.224,ok
terminalbench,4,0,6,22593,256,22849,3.453,ok
terminalbench,4,0,7,29399,256,29655,3.563,ok
terminalbench,4,1,0,100,256,356,2.217,ok
terminalbench,4,1,1,1572,256,1828,2.522,ok
terminalbench,4,1,2,3937,256,4193,2.682,ok
terminalbench,4,1,3,7275,256,7531,2.901,ok
terminalbench,4,1,4,11496,256,11752,3.021,ok
terminalbench,4,1,5,16595,256,16851,3.215,ok
terminalbench,4,1,6,22558,256,22814,3.437,ok
terminalbench,4,1,7,29360,256,29616,3.58,ok
terminalbench,4,2,0,102,256,358,2.24,ok
terminalbench,4,2,1,1610,256,1866,2.517,ok
terminalbench,4,2,2,4017,256,4273,2.682,ok
terminalbench,4,2,3,7314,256,7570,2.899,ok
terminalbench,4,2,4,11464,256,11720,3.021,ok
terminalbench,4,2,5,16612,256,16868,3.215,ok
terminalbench,4,2,6,22512,256,22768,3.437,ok
terminalbench,4,2,7,29408,256,29664,3.579,ok
terminalbench,4,3,0,102,256,358,2.242,ok
terminalbench,4,3,1,1588,256,1844,2.519,ok
terminalbench,4,3,2,3970,256,4226,2.683,ok
terminalbench,4,3,3,7254,256,7510,2.905,ok
terminalbench,4,3,4,11409,256,11665,3.022,ok
terminalbench,4,3,5,16471,256,16727,3.211,ok
terminalbench,4,3,6,22361,256,22617,3.452,ok
terminalbench,4,3,7,29160,256,29416,3.563,ok
terminalbench,8,0,0,102,256,358,2.558,ok
terminalbench,8,0,1,1588,256,1844,3.057,ok
terminalbench,8,0,2,3983,256,4239,3.34,ok
terminalbench,8,0,3,7315,256,7571,3.724,ok
terminalbench,8,0,4,11540,256,11796,3.995,ok
terminalbench,8,0,5,16679,256,16935,4.421,ok
terminalbench,8,0,6,22641,256,22897,4.813,ok
terminalbench,8,0,7,29558,256,29814,5.186,ok
terminalbench,8,1,0,102,256,358,2.523,ok
terminalbench,8,1,1,1577,256,1833,3.05,ok
terminalbench,8,1,2,3957,256,4213,3.351,ok
terminalbench,8,1,3,7267,256,7523,3.722,ok
terminalbench,8,1,4,11457,256,11713,4.0,ok
terminalbench,8,1,5,16503,256,16759,4.413,ok
terminalbench,8,1,6,22490,256,22746,4.813,ok
terminalbench,8,1,7,29445,256,29701,5.19,ok
terminalbench,8,2,0,100,256,356,2.558,ok
terminalbench,8,2,1,1587,256,1843,3.052,ok
terminalbench,8,2,2,4018,256,4274,3.362,ok
terminalbench,8,2,3,7263,256,7519,3.729,ok
terminalbench,8,2,4,11457,256,11713,4.0,ok
terminalbench,8,2,5,16515,256,16771,4.422,ok
terminalbench,8,2,6,22461,256,22717,4.811,ok
terminalbench,8,2,7,29240,256,29496,5.188,ok
terminalbench,8,3,0,100,256,356,2.549,ok
terminalbench,8,3,1,1596,256,1852,3.054,ok
terminalbench,8,3,2,3954,256,4210,3.342,ok
terminalbench,8,3,3,7175,256,7431,3.728,ok
terminalbench,8,3,4,11374,256,11630,3.993,ok
terminalbench,8,3,5,16441,256,16697,4.411,ok
terminalbench,8,3,6,22441,256,22697,4.814,ok
terminalbench,8,3,7,29276,256,29532,5.19,ok
terminalbench,8,4,0,100,256,356,2.547,ok
terminalbench,8,4,1,1592,256,1848,3.051,ok
terminalbench,8,4,2,3950,256,4206,3.353,ok
terminalbench,8,4,3,7301,256,7557,3.753,ok
terminalbench,8,4,4,11453,256,11709,4.003,ok
terminalbench,8,4,5,16527,256,16783,4.41,ok
terminalbench,8,4,6,22573,256,22829,4.806,ok
terminalbench,8,4,7,29446,256,29702,5.19,ok
terminalbench,8,5,0,100,256,356,2.554,ok
terminalbench,8,5,1,1561,256,1817,3.05,ok
terminalbench,8,5,2,3948,256,4204,3.36,ok
terminalbench,8,5,3,7209,256,7465,3.723,ok
terminalbench,8,5,4,11393,256,11649,4.023,ok
terminalbench,8,5,5,16451,256,16707,4.417,ok
terminalbench,8,5,6,22505,256,22761,4.818,ok
terminalbench,8,5,7,29292,256,29548,5.182,ok
terminalbench,8,6,0,100,256,356,2.552,ok
terminalbench,8,6,1,1641,256,1897,3.054,ok
terminalbench,8,6,2,4058,256,4314,3.356,ok
terminalbench,8,6,3,7393,256,7649,3.723,ok
terminalbench,8,6,4,11563,256,11819,3.994,ok
terminalbench,8,6,5,16676,256,16932,4.42,ok
terminalbench,8,6,6,22632,256,22888,4.816,ok
terminalbench,8,6,7,29481,256,29737,5.187,ok
terminalbench,8,7,0,102,256,358,2.552,ok
terminalbench,8,7,1,1602,256,1858,3.062,ok
terminalbench,8,7,2,4036,256,4292,3.353,ok
terminalbench,8,7,3,7321,256,7577,3.728,ok
terminalbench,8,7,4,11482,256,11738,3.998,ok
terminalbench,8,7,5,16608,256,16864,4.414,ok
terminalbench,8,7,6,22544,256,22800,4.83,ok
terminalbench,8,7,7,29500,256,29756,5.197,ok
terminalbench,16,0,0,100,256,356,3.06,ok
terminalbench,16,0,1,1596,256,1852,4.145,ok
terminalbench,16,0,2,4036,256,4292,4.643,ok
terminalbench,16,0,3,7324,256,7580,5.39,ok
terminalbench,16,0,4,11491,256,11747,6.038,ok
terminalbench,16,0,5,16552,256,16808,6.799,ok
terminalbench,16,0,6,22499,256,22755,7.707,ok
terminalbench,16,0,7,29327,256,29583,8.541,ok
terminalbench,16,1,0,102,256,358,3.012,ok
terminalbench,16,1,1,1598,256,1854,4.14,ok
terminalbench,16,1,2,4009,256,4265,4.651,ok
terminalbench,16,1,3,7247,256,7503,5.389,ok
terminalbench,16,1,4,11389,256,11645,6.013,ok
terminalbench,16,1,5,16502,256,16758,6.791,ok
terminalbench,16,1,6,22492,256,22748,7.695,ok
terminalbench,16,1,7,29343,256,29599,8.525,ok
terminalbench,16,2,0,100,256,356,3.054,ok
terminalbench,16,2,1,1567,256,1823,4.146,ok
terminalbench,16,2,2,3993,256,4249,4.653,ok
terminalbench,16,2,3,7267,256,7523,5.381,ok
terminalbench,16,2,4,11392,256,11648,6.016,ok
terminalbench,16,2,5,16520,256,16776,6.793,ok
terminalbench,16,2,6,22495,256,22751,7.718,ok
terminalbench,16,2,7,29387,256,29643,8.531,ok
terminalbench,16,3,0,102,256,358,3.067,ok
terminalbench,16,3,1,1570,256,1826,4.238,ok
terminalbench,16,3,2,3975,256,4231,4.592,ok
terminalbench,16,3,3,7276,256,7532,5.394,ok
terminalbench,16,3,4,11453,256,11709,6.036,ok
terminalbench,16,3,5,16516,256,16772,6.804,ok
terminalbench,16,3,6,22501,256,22757,8.057,ok
terminalbench,16,3,7,29417,256,29673,8.19,ok
terminalbench,16,4,0,100,256,356,3.045,ok
terminalbench,16,4,1,1593,256,1849,4.13,ok
terminalbench,16,4,2,4012,256,4268,4.653,ok
terminalbench,16,4,3,7334,256,7590,5.389,ok
terminalbench,16,4,4,11510,256,11766,6.012,ok
terminalbench,16,4,5,16614,256,16870,6.793,ok
terminalbench,16,4,6,22584,256,22840,7.696,ok
terminalbench,16,4,7,29485,256,29741,8.527,ok
terminalbench,16,5,0,102,256,358,3.065,ok
terminalbench,16,5,1,1593,256,1849,4.136,ok
terminalbench,16,5,2,3987,256,4243,4.688,ok
terminalbench,16,5,3,7287,256,7543,5.387,ok
terminalbench,16,5,4,11446,256,11702,6.022,ok
terminalbench,16,5,5,16612,256,16868,7.06,ok
terminalbench,16,5,6,22569,256,22825,7.839,ok
terminalbench,16,5,7,29421,256,29677,8.189,ok
terminalbench,16,6,0,102,256,358,3.063,ok
terminalbench,16,6,1,1597,256,1853,4.237,ok
terminalbench,16,6,2,4030,256,4286,4.592,ok
terminalbench,16,6,3,7359,256,7615,5.375,ok
terminalbench,16,6,4,11508,256,11764,6.028,ok
terminalbench,16,6,5,16628,256,16884,6.811,ok
terminalbench,16,6,6,22699,256,22955,7.711,ok
terminalbench,16,6,7,29652,256,29908,8.522,ok
terminalbench,16,7,0,102,256,358,3.045,ok
terminalbench,16,7,1,1587,256,1843,4.146,ok
terminalbench,16,7,2,4027,256,4283,4.639,ok
terminalbench,16,7,3,7337,256,7593,5.388,ok
terminalbench,16,7,4,11429,256,11685,6.023,ok
terminalbench,16,7,5,16504,256,16760,6.794,ok
terminalbench,16,7,6,22539,256,22795,7.697,ok
terminalbench,16,7,7,29356,256,29612,8.531,ok
terminalbench,16,8,0,102,256,358,3.049,ok
terminalbench,16,8,1,1585,256,1841,4.161,ok
terminalbench,16,8,2,3997,256,4253,4.651,ok
terminalbench,16,8,3,7306,256,7562,5.421,ok
terminalbench,16,8,4,11493,256,11749,6.027,ok
terminalbench,16,8,5,16517,256,16773,6.811,ok
terminalbench,16,8,6,22431,256,22687,7.968,ok
terminalbench,16,8,7,29386,256,29642,8.277,ok
terminalbench,16,9,0,102,256,358,3.056,ok
terminalbench,16,9,1,1623,256,1879,4.148,ok
terminalbench,16,9,2,4024,256,4280,4.674,ok
terminalbench,16,9,3,7254,256,7510,5.367,ok
terminalbench,16,9,4,11480,256,11736,6.017,ok
terminalbench,16,9,5,16554,256,16810,6.787,ok
terminalbench,16,9,6,22542,256,22798,7.697,ok
terminalbench,16,9,7,29461,256,29717,8.522,ok
terminalbench,16,10,0,100,256,356,3.051,ok
terminalbench,16,10,1,1610,256,1866,4.168,ok
terminalbench,16,10,2,3998,256,4254,4.662,ok
terminalbench,16,10,3,7254,256,7510,5.392,ok
terminalbench,16,10,4,11459,256,11715,6.026,ok
terminalbench,16,10,5,16520,256,16776,7.154,ok
terminalbench,16,10,6,22481,256,22737,8.382,ok
terminalbench,16,10,7,29403,256,29659,7.56,ok
terminalbench,16,11,0,102,256,358,3.056,ok
terminalbench,16,11,1,1597,256,1853,4.15,ok
terminalbench,16,11,2,3957,256,4213,4.657,ok
terminalbench,16,11,3,7274,256,7530,5.387,ok
terminalbench,16,11,4,11428,256,11684,6.026,ok
terminalbench,16,11,5,16525,256,16781,6.785,ok
terminalbench,16,11,6,22524,256,22780,7.704,ok
terminalbench,16,11,7,29432,256,29688,8.535,ok
terminalbench,16,12,0,102,256,358,3.061,ok
terminalbench,16,12,1,1624,256,1880,4.16,ok
terminalbench,16,12,2,4028,256,4284,4.654,ok
terminalbench,16,12,3,7292,256,7548,5.388,ok
terminalbench,16,12,4,11433,256,11689,6.054,ok
terminalbench,16,12,5,16480,256,16736,7.039,ok
terminalbench,16,12,6,22451,256,22707,8.16,ok
terminalbench,16,12,7,29348,256,29604,7.872,ok
terminalbench,16,13,0,102,256,358,3.053,ok
terminalbench,16,13,1,1580,256,1836,4.163,ok
terminalbench,16,13,2,3976,256,4232,4.633,ok
terminalbench,16,13,3,7277,256,7533,5.405,ok
terminalbench,16,13,4,11479,256,11735,6.027,ok
terminalbench,16,13,5,16552,256,16808,6.794,ok
terminalbench,16,13,6,22614,256,22870,7.728,ok
terminalbench,16,13,7,29470,256,29726,8.531,ok
terminalbench,16,14,0,100,256,356,3.049,ok
terminalbench,16,14,1,1598,256,1854,4.174,ok
terminalbench,16,14,2,4001,256,4257,4.633,ok
terminalbench,16,14,3,7281,256,7537,5.422,ok
terminalbench,16,14,4,11470,256,11726,6.026,ok
terminalbench,16,14,5,16557,256,16813,6.8,ok
terminalbench,16,14,6,22521,256,22777,7.71,ok
terminalbench,16,14,7,29370,256,29626,8.527,ok
terminalbench,16,15,0,100,256,356,3.048,ok
terminalbench,16,15,1,1567,256,1823,4.248,ok
terminalbench,16,15,2,3973,256,4229,4.592,ok
terminalbench,16,15,3,7263,256,7519,5.401,ok
terminalbench,16,15,4,11401,256,11657,6.026,ok
terminalbench,16,15,5,16500,256,16756,6.8,ok
terminalbench,16,15,6,22442,256,22698,7.705,ok
terminalbench,16,15,7,29277,256,29533,8.533,ok
livecodebench,1,0,0,174,512,686,3.446,ok
livecodebench,1,0,1,1325,309,1634,2.234,ok
livecodebench,1,0,2,2726,391,3117,2.715,ok
livecodebench,1,0,3,4626,424,5050,3.012,ok
livecodebench,1,0,4,7031,417,7448,2.988,ok
livecodebench,2,0,0,174,512,686,4.035,ok
livecodebench,2,0,1,1332,512,1844,4.272,ok
livecodebench,2,0,2,2967,512,3479,4.284,ok
livecodebench,2,0,3,4995,460,5455,4.018,ok
livecodebench,2,0,4,7423,512,7935,4.134,ok
livecodebench,2,1,0,174,512,686,4.058,ok
livecodebench,2,1,1,1295,512,1807,4.262,ok
livecodebench,2,1,2,2890,512,3402,4.284,ok
livecodebench,2,1,3,4894,434,5328,3.639,ok
livecodebench,2,1,4,7291,512,7803,4.341,ok
livecodebench,4,0,0,174,512,686,4.38,ok
livecodebench,4,0,1,1337,512,1849,4.852,ok
livecodebench,4,0,2,2934,512,3446,5.211,ok
livecodebench,4,0,3,4986,465,5451,4.573,ok
livecodebench,4,0,4,7417,469,7886,3.948,ok
livecodebench,4,1,0,174,512,686,4.369,ok
livecodebench,4,1,1,1318,512,1830,4.847,ok
livecodebench,4,1,2,2918,428,3346,4.329,ok
livecodebench,4,1,3,4863,512,5375,4.961,ok
livecodebench,4,1,4,7359,512,7871,4.486,ok
livecodebench,4,2,0,174,512,686,4.38,ok
livecodebench,4,2,1,1330,350,1680,3.379,ok
livecodebench,4,2,2,2761,325,3086,3.231,ok
livecodebench,4,2,3,4659,401,5060,4.061,ok
livecodebench,4,2,4,7045,512,7557,5.049,ok
livecodebench,4,3,0,174,512,686,4.377,ok
livecodebench,4,3,1,1319,325,1644,3.063,ok
livecodebench,4,3,2,2738,454,3192,4.598,ok
livecodebench,4,3,3,4719,394,5113,3.997,ok
livecodebench,4,3,4,7108,454,7562,4.388,ok
livecodebench,8,0,0,174,512,686,4.937,ok
livecodebench,8,0,1,1322,325,1647,3.714,ok
livecodebench,8,0,2,2709,304,3013,4.209,ok
livecodebench,8,0,3,4567,505,5072,6.304,ok
livecodebench,8,0,4,7059,471,7530,6.052,ok
livecodebench,8,1,0,174,512,686,4.904,ok
livecodebench,8,1,1,1326,285,1611,3.169,ok
livecodebench,8,1,2,2687,325,3012,4.404,ok
livecodebench,8,1,3,4574,257,4831,3.655,ok
livecodebench,8,1,4,6837,287,7124,3.614,ok
livecodebench,8,2,0,174,512,686,4.934,ok
livecodebench,8,2,1,1320,364,1684,4.475,ok
livecodebench,8,2,2,2771,373,3144,4.706,ok
livecodebench,8,2,3,4676,405,5081,5.21,ok
livecodebench,8,2,4,7055,483,7538,6.044,ok
livecodebench,8,3,0,174,512,686,4.928,ok
livecodebench,8,3,1,1337,442,1779,5.517,ok
livecodebench,8,3,2,2881,410,3291,5.154,ok
livecodebench,8,3,3,4818,512,5330,6.717,ok
livecodebench,8,3,4,7286,512,7798,5.231,ok
livecodebench,8,4,0,174,512,686,4.93,ok
livecodebench,8,4,1,1334,433,1767,5.265,ok
livecodebench,8,4,2,2870,420,3290,5.414,ok
livecodebench,8,4,3,4839,314,5153,4.198,ok
livecodebench,8,4,4,7120,315,7435,3.964,ok
livecodebench,8,5,0,174,512,686,4.936,ok
livecodebench,8,5,1,1317,338,1655,4.109,ok
livecodebench,8,5,2,2729,512,3241,6.534,ok
livecodebench,8,5,3,4752,506,5258,6.295,ok
livecodebench,8,5,4,7219,512,7731,5.59,ok
livecodebench,8,6,0,174,512,686,4.937,ok
livecodebench,8,6,1,1309,469,1778,5.943,ok
livecodebench,8,6,2,2855,512,3367,6.522,ok
livecodebench,8,6,3,4869,512,5381,6.41,ok
livecodebench,8,6,4,7362,512,7874,4.59,ok
livecodebench,8,7,0,174,512,686,4.934,ok
livecodebench,8,7,1,1338,328,1666,3.745,ok
livecodebench,8,7,2,2750,512,3262,6.628,ok
livecodebench,8,7,3,4813,512,5325,6.515,ok
livecodebench,8,7,4,7314,512,7826,5.625,ok
livecodebench,16,0,0,174,512,686,5.896,ok
livecodebench,16,0,1,1332,431,1763,6.948,ok
livecodebench,16,0,2,2848,455,3303,7.946,ok
livecodebench,16,0,3,4844,512,5356,9.315,ok
livecodebench,16,0,4,7333,512,7845,8.479,ok
livecodebench,16,1,0,174,512,686,5.834,ok
livecodebench,16,1,1,1316,498,1814,8.288,ok
livecodebench,16,1,2,2905,507,3412,9.154,ok
livecodebench,16,1,3,4935,344,5279,5.772,ok
livecodebench,16,1,4,7204,445,7649,8.027,ok
livecodebench,16,2,0,174,512,686,5.894,ok
livecodebench,16,2,1,1344,326,1670,5.074,ok
livecodebench,16,2,2,2785,336,3121,5.926,ok
livecodebench,16,2,3,4623,512,5135,9.382,ok
livecodebench,16,2,4,7186,512,7698,9.284,ok
livecodebench,16,3,0,174,512,686,5.882,ok
livecodebench,16,3,1,1342,410,1752,6.581,ok
livecodebench,16,3,2,2828,512,3340,9.277,ok
livecodebench,16,3,3,4915,498,5413,9.13,ok
livecodebench,16,3,4,7423,512,7935,7.918,ok
livecodebench,16,4,0,174,512,686,5.879,ok
livecodebench,16,4,1,1355,307,1662,4.753,ok
livecodebench,16,4,2,2737,379,3116,6.755,ok
livecodebench,16,4,3,4653,368,5021,6.837,ok
livecodebench,16,4,4,6993,396,7389,7.573,ok
livecodebench,16,5,0,174,512,686,5.877,ok
livecodebench,16,5,1,1359,512,1871,8.606,ok
livecodebench,16,5,2,2943,472,3415,8.439,ok
livecodebench,16,5,3,4974,505,5479,9.495,ok
livecodebench,16,5,4,7510,505,8015,6.902,ok
livecodebench,16,6,0,174,512,686,5.89,ok
livecodebench,16,6,1,1318,512,1830,8.607,ok
livecodebench,16,6,2,2930,445,3375,7.977,ok
livecodebench,16,6,3,4898,512,5410,9.505,ok
livecodebench,16,6,4,7397,512,7909,7.248,ok
livecodebench,16,7,0,174,512,686,5.877,ok
livecodebench,16,7,1,1321,435,1756,7.208,ok
livecodebench,16,7,2,2850,462,3312,7.991,ok
livecodebench,16,7,3,4845,512,5357,9.335,ok
livecodebench,16,7,4,7293,512,7805,8.274,ok
livecodebench,16,8,0,174,512,686,5.867,ok
livecodebench,16,8,1,1324,297,1621,4.318,ok
livecodebench,16,8,2,2697,512,3209,9.262,ok
livecodebench,16,8,3,4688,512,5200,9.133,ok
livecodebench,16,8,4,7147,512,7659,9.07,ok
livecodebench,16,9,0,174,512,686,5.881,ok
livecodebench,16,9,1,1306,428,1734,6.918,ok
livecodebench,16,9,2,2831,416,3247,7.279,ok
livecodebench,16,9,3,4763,512,5275,9.282,ok
livecodebench,16,9,4,7312,512,7824,8.797,ok
livecodebench,16,10,0,174,512,686,5.885,ok
livecodebench,16,10,1,1332,512,1844,8.613,ok
livecodebench,16,10,2,2941,512,3453,9.164,ok
livecodebench,16,10,3,4982,512,5494,9.575,ok
livecodebench,16,10,4,7511,512,8023,6.446,ok
livecodebench,16,11,0,174,512,686,5.887,ok
livecodebench,16,11,1,1316,390,1706,6.214,ok
livecodebench,16,11,2,2799,512,3311,9.219,ok
livecodebench,16,11,3,4830,512,5342,9.367,ok
livecodebench,16,11,4,7298,512,7810,8.068,ok
livecodebench,16,12,0,174,512,686,5.877,ok
livecodebench,16,12,1,1323,370,1693,5.863,ok
livecodebench,16,12,2,2759,343,3102,6.313,ok
livecodebench,16,12,3,4632,387,5019,6.937,ok
livecodebench,16,12,4,7017,512,7529,9.556,ok
livecodebench,16,13,0,174,512,686,5.889,ok
livecodebench,16,13,1,1304,323,1627,5.048,ok
livecodebench,16,13,2,2746,369,3115,6.68,ok
livecodebench,16,13,3,4688,512,5200,9.27,ok
livecodebench,16,13,4,7177,512,7689,9.122,ok
livecodebench,16,14,0,174,512,686,5.877,ok
livecodebench,16,14,1,1295,432,1727,6.975,ok
livecodebench,16,14,2,2759,502,3261,9.122,ok
livecodebench,16,14,3,4773,512,5285,9.479,ok
livecodebench,16,14,4,7315,512,7827,7.563,ok
livecodebench,16,15,0,174,512,686,5.867,ok
livecodebench,16,15,1,1306,299,1605,4.356,ok
livecodebench,16,15,2,2657,323,2980,5.989,ok
livecodebench,16,15,3,4531,512,5043,9.369,ok
livecodebench,16,15,4,7019,512,7531,9.419,ok
